#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 10 04 20 30 110  5.0  6.0    MM    MM    MM  MM 1009.2  29.2    MM    MM   MM   MM    MM
2017 10 04 20 20 110  5.0  6.0    MM    MM    MM  MM 1009.0  29.2    MM    MM   MM   MM    MM
2017 10 04 20 00 110  5.0  7.0   0.9    10    MM 104 1009.0  29.2    MM    MM   MM   MM    MM
2017 10 04 19 10 110  5.0  6.0   0.9    MM    MM 103 1009.4  29.1    MM    MM   MM   MM    MM
2017 10 04 19 00 100  5.0  5.0   0.9     9    MM 103 1009.5  29.2    MM    MM   MM -1.6    MM
2017 10 04 18 50  90  5.0  6.0    MM    MM    MM  MM 1009.5  29.1    MM    MM   MM   MM    MM
2017 10 04 18 40 100  5.0  6.0    MM    MM    MM  MM 1009.5  29.2    MM    MM   MM   MM    MM
2017 10 04 18 30 100  5.0  6.0    MM    MM    MM  MM 1009.7  29.2    MM    MM   MM   MM    MM
2017 10 04 18 20  90  5.0  6.0    MM    MM    MM  MM 1009.8  29.2    MM    MM   MM   MM    MM
2017 10 04 18 10  90  5.0  6.0   0.8    MM    MM 102 1009.9  29.1    MM    MM   MM   MM    MM
2017 10 04 18 00  90  5.0  7.0   0.8    10    MM 102 1009.9  29.1    MM    MM   MM -1.7    MM
2017 10 04 17 50  90  5.0  6.0    MM    MM    MM  MM 1009.9  29.0    MM    MM   MM   MM    MM
2017 10 04 17 40 100  5.0  6.0    MM    MM    MM  MM 1010.0  29.1    MM    MM   MM   MM    MM
2017 10 04 17 30 100  5.0  6.0    MM    MM    MM  MM 1009.9  29.1    MM    MM   MM   MM    MM
2017 10 04 17 20 100  5.0  6.0    MM    MM    MM  MM 1010.0  29.0    MM    MM   MM   MM    MM
2017 10 04 17 10 100  5.0  6.0    MM    MM    MM  MM 1010.1  29.0    MM    MM   MM   MM    MM
2017 10 04 17 00 100  5.0  6.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 16 50 110  5.0  6.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 16 40 110  5.0  6.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 16 30 110  6.0  7.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 16 20 110  6.0  7.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 16 10 110  5.0  6.0   0.9    MM    MM 102     MM    MM    MM    MM   MM   MM    MM
2017 10 04 16 00 110  5.0  7.0   0.9     9    MM 102 1011.1  29.0    MM    MM   MM +0.0    MM
2017 10 04 15 50 110  6.0  7.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 15 40 120  6.0  7.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 15 30 110  6.0  7.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 15 20 110  6.0  7.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 15 10 110  6.0  7.0   0.8    MM    MM 101     MM    MM    MM    MM   MM   MM    MM
2017 10 04 15 00 110  6.0  7.0   0.8     9    MM 101 1011.6  28.9    MM    MM   MM +1.2    MM
2017 10 04 14 50 110  6.0  7.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 14 40 110  6.0  7.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 14 30 110  6.0  7.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 14 20 100  5.0  6.0    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2017 10 04 14 10 110  5.0  7.0   0.8    MM    MM 103     MM    MM    MM    MM   MM   MM    MM
2017 10 04 14 00 100  5.0  6.0   0.8     9    MM 103 1011.4  29.0    MM    MM   MM +1.4    MM
2017 10 04 13 50 100  5.0  6.0    MM    MM    MM  MM 1011.3  28.9    MM    MM   MM   MM    MM
2017 10 04 13 40  90  5.0  7.0    MM    MM    MM  MM 1011.3  28.9    MM    MM   MM   MM    MM
2017 10 04 13 30 100  5.0  6.0    MM    MM    MM  MM 1011.3  28.8    MM    MM   MM   MM    MM
2017 10 04 13 20 100  5.0  6.0    MM    MM    MM  MM 1011.3  28.8    MM    MM   MM   MM    MM
2017 10 04 13 00 110  5.0  7.0   0.9     8    MM 103 1011.1  28.8    MM    MM   MM +1.6    MM
2017 10 04 12 00 100  6.0  7.0   0.8     8    MM  99 1010.4  28.9    MM    MM   MM +1.0    MM
2017 10 04 11 50 110  6.0  7.0    MM    MM    MM  MM 1010.3  28.9    MM    MM   MM   MM    MM
2017 10 04 11 40 100  6.0  7.0    MM    MM    MM  MM 1010.2  28.8    MM    MM   MM   MM    MM
2017 10 04 11 30 100  6.0  7.0    MM    MM    MM  MM 1010.2  28.7    MM    MM   MM   MM    MM
2017 10 04 11 20 100  6.0  7.0    MM    MM    MM  MM 1010.1  28.7    MM    MM   MM   MM    MM
2017 10 04 11 00 100  6.0  8.0   0.8     8    MM  98 1010.0  28.7    MM    MM   MM +0.6    MM
2017 10 04 10 30  90  6.0  7.0    MM    MM    MM  MM 1009.9  28.5    MM    MM   MM   MM    MM
2017 10 04 10 20 100  5.0  6.0    MM    MM    MM  MM 1009.7  28.4    MM    MM   MM   MM    MM
2017 10 04 10 10 100  5.0  6.0   0.8    MM    MM  99 1009.5  28.4    MM    MM   MM   MM    MM
2017 10 04 10 00 100  5.0  6.0   0.8     8    MM  99 1009.5  28.4    MM    MM   MM +0.0    MM
2017 10 04 09 50 100  6.0  7.0    MM    MM    MM  MM 1009.5  28.5    MM    MM   MM   MM    MM
2017 10 04 09 40 100  5.0  7.0    MM    MM    MM  MM 1009.4  28.4    MM    MM   MM   MM    MM
2017 10 04 09 30  90  6.0  7.0    MM    MM    MM  MM 1009.4  28.4    MM    MM   MM   MM    MM
2017 10 04 09 20 100  5.0  6.0    MM    MM    MM  MM 1009.3  28.4    MM    MM   MM   MM    MM
2017 10 04 09 10  90  5.0  7.0   0.8    MM    MM  94 1009.3  28.5    MM    MM   MM   MM    MM
2017 10 04 09 00 100  5.0  7.0   0.8     8    MM  94 1009.4  28.5    MM    MM   MM -0.4    MM
2017 10 04 08 50 100  6.0  7.0    MM    MM    MM  MM 1009.4  28.4    MM    MM   MM   MM    MM
2017 10 04 08 40 100  6.0  7.0    MM    MM    MM  MM 1009.3  28.4    MM    MM   MM   MM    MM
2017 10 04 08 30 100  6.0  7.0    MM    MM    MM  MM 1009.4  28.5    MM    MM   MM   MM    MM
2017 10 04 08 20 100  6.0  7.0    MM    MM    MM  MM 1009.4  28.5    MM    MM   MM   MM    MM
2017 10 04 08 10 100  6.0  7.0   0.9    MM    MM  93 1009.4  28.5    MM    MM   MM   MM    MM
2017 10 04 08 00  90  6.0  7.0   0.9     8    MM  93 1009.4  28.5    MM    MM   MM -0.8    MM
2017 10 04 07 50  90  5.0  6.0    MM    MM    MM  MM 1009.5  28.5    MM    MM   MM   MM    MM
2017 10 04 07 40 100  5.0  7.0    MM    MM    MM  MM 1009.5  28.5    MM    MM   MM   MM    MM
2017 10 04 07 30 100  6.0  8.0    MM    MM    MM  MM 1009.4  28.5    MM    MM   MM   MM    MM
2017 10 04 07 20  90  6.0  7.0    MM    MM    MM  MM 1009.3  28.5    MM    MM   MM   MM    MM
2017 10 04 07 10  90  5.0  7.0   0.8    MM    MM  95 1009.3  28.5    MM    MM   MM   MM    MM
2017 10 04 07 00  90  5.0  7.0   0.8     7    MM  95 1009.3  28.5    MM    MM   MM -1.6    MM
2017 10 04 06 50 100  5.0  7.0    MM    MM    MM  MM 1009.4  28.5    MM    MM   MM   MM    MM
