#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 10 02 14 00  80  5.0  6.0   0.9    11    MM  31 1014.1  28.2    MM    MM   MM +1.7    MM
2017 10 02 13 00  90  5.0  7.0   0.8    10    MM  31 1013.7  28.2    MM    MM   MM +1.6    MM
2017 10 02 12 00 100  6.0  7.0   0.7     8    MM  26 1012.9  28.2    MM    MM   MM +1.2    MM
2017 10 02 11 00 110  5.0  7.0   0.8    10    MM  56 1012.4  28.1    MM    MM   MM +1.0    MM
2017 10 02 10 00 100  5.0  7.0   0.8    11    MM  58 1012.1  27.7    MM    MM   MM +0.7    MM
2017 10 02 09 00 110  5.0  6.0   0.9    11    MM  67 1011.7  27.8    MM    MM   MM +0.3    MM
2017 10 02 08 00 100  5.0  7.0   0.8    11    MM  72 1011.4  27.8    MM    MM   MM -0.5    MM
2017 10 02 07 00  90  5.0  7.0   0.9    11    MM 126 1011.4  27.9    MM    MM   MM -0.9    MM
2017 10 02 06 00 110  5.0  7.0   0.9    11    MM 163 1011.4  28.0    MM    MM   MM -1.2    MM
2017 10 02 05 00  90  4.0  6.0   0.9    11    MM 132 1011.9  27.8    MM    MM   MM -0.7    MM
2017 10 02 04 00  90  4.0  5.0   0.8    11    MM  76 1012.3  27.8    MM    MM   MM +0.0    MM
2017 10 02 03 00  90  4.0  5.0   0.8    11    MM  56 1012.6  27.9    MM    MM   MM +0.6    MM
2017 10 02 02 00 100  5.0  5.0   0.8    11    MM 104 1012.6  28.2    MM    MM   MM +1.7    MM
2017 10 02 01 00  90  4.0  6.0   0.8    11    MM 142 1012.2  28.2    MM    MM   MM +1.4    MM
2017 10 02 00 00  90  4.0  5.0   0.8    11    MM 144 1012.0  28.2    MM    MM   MM +1.6    MM
2017 10 01 23 00 100  5.0  6.0   0.8    11    MM  66 1010.9  28.2    MM    MM   MM +0.8    MM
2017 10 01 22 00 100  5.0  6.0   0.8    11    MM  26 1010.8  28.2    MM    MM   MM +0.6    MM
2017 10 01 21 00 100  5.0  6.0   0.9    11    MM   0 1010.4  28.2    MM    MM   MM -0.4    MM
2017 10 01 20 00 110  5.0  6.0   0.9    11    MM  31 1010.1  28.3    MM    MM   MM -1.2    MM
2017 10 01 19 00 100  5.0  6.0   0.9    11    MM  38 1010.2  28.2    MM    MM   MM -2.0    MM
2017 10 01 18 00 110  4.0  6.0   0.8    11    MM  90 1010.8  28.3    MM    MM   MM -2.3    MM
2017 10 01 17 00  90  4.0  5.0   0.9    11    MM  60 1011.3  28.1    MM    MM   MM -2.1    MM
2017 10 01 16 00 100  4.0  5.0   0.7    11    MM  53 1012.2  28.2    MM    MM   MM -0.9    MM
2017 10 01 15 00 110  4.0  5.0   0.8    11    MM  55 1013.1  28.1    MM    MM   MM +0.3    MM
2017 10 01 14 00  90  4.0  5.0   0.8    11    MM  83 1013.4  27.7    MM    MM   MM +1.0    MM
2017 10 01 13 00 100  3.0  3.0   0.7    12    MM  86 1013.1  27.4    MM    MM   MM +1.1    MM
2017 10 01 12 00  70  3.0  4.0   0.8    12    MM  51 1012.8  27.3    MM    MM   MM +1.5    MM
2017 10 01 11 00  70  4.0  5.0   0.8    12    MM  25 1012.4  27.0    MM    MM   MM +1.0    MM
2017 10 01 10 00  90  4.0  5.0   0.8    12    MM  22 1012.0  27.2    MM    MM   MM +0.3    MM
2017 10 01 09 00  70  3.0  4.0   0.8    11    MM  21 1011.3  26.7    MM    MM   MM -1.2    MM
2017 10 01 08 00  80  4.0  5.0   0.8    11    MM  33 1011.4  26.6    MM    MM   MM -1.8    MM
2017 10 01 07 00  70  6.0  8.0   0.8    12    MM  39 1011.7  26.5    MM    MM   MM -2.1    MM
2017 10 01 06 00  60  6.0  7.0   0.7    13    MM  31 1012.5  26.5    MM    MM   MM -1.4    MM
2017 10 01 05 00  60  5.0  6.0   0.7    11    MM  41 1013.2  26.6    MM    MM   MM -0.7    MM
2017 10 01 04 00  60  5.0  6.0   0.6    11    MM  61 1013.8  26.8    MM    MM   MM +0.3    MM
2017 10 01 03 00  80  5.0  7.0   0.6     9    MM  76 1013.9  25.9    MM    MM   MM +0.6    MM
2017 10 01 02 00  90  6.0  7.0   0.7     6    MM  55 1013.9  25.7    MM    MM   MM +0.4    MM
2017 10 01 01 00  90  6.0  8.0   0.7    12    MM  53 1013.5  25.4    MM    MM   MM +0.0    MM
2017 10 01 00 00  90  2.0  3.0   0.8    12    MM  61 1013.3  24.6    MM    MM   MM +0.0    MM
2017 09 30 22 00 230  1.0  2.0   0.8    11    MM  80 1013.4  24.4    MM    MM   MM +0.5    MM
2017 09 30 21 00 210  2.0  3.0   0.9     7    MM  70 1013.4  24.3    MM    MM   MM +1.1    MM
2017 09 30 20 00 220  4.0  6.0   0.9    11    MM  63 1013.2  24.2    MM    MM   MM -0.0    MM
2017 09 30 19 00 170 10.0 14.0   0.9     6    MM  57 1012.9  23.8    MM    MM   MM -0.6    MM
2017 09 30 18 00 350  4.0  6.0   0.9    13    MM  51 1012.3  25.3    MM    MM   MM -2.1    MM
2017 09 30 17 00 250  4.0  7.0   0.8     6    MM  39 1013.0  24.9    MM    MM   MM -2.0    MM
2017 09 30 16 00 240  3.0  5.0   0.9    11    MM  25 1013.5  25.6    MM    MM   MM -1.2    MM
2017 09 30 15 00 100  2.0  3.0   0.9    10    MM  34 1014.4  25.7    MM    MM   MM +0.4    MM
2017 09 30 14 00  20  3.0  4.0   0.9    10    MM  50 1015.0  25.5    MM    MM   MM +1.5    MM
2017 09 30 13 00  10  4.0  5.0   0.9    11    MM  84 1014.7  24.8    MM    MM   MM +1.3    MM
2017 09 30 12 00 150  6.0  9.0    MM    MM    MM  MM 1014.0  26.5    MM    MM   MM +1.0    MM
